entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over15,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_Under15,FT_Odd_Under25
Back_home,23.01.2024,23:00,BRAZIL - GAUCHO - ROUND 2,Novo Hamburgo,Santa Cruz RS,1.9,3.15,3.75,1.42,2.43,2.12,2.7,1.5
Back_home,23.01.2024,16:00,CROATIA - HNL - ROUND 4,D. Zagreb,Lok. Zagreb,1.25,5.25,9.5,1.18,1.62,2.1,4.5,2.25
Back_home,23.01.2024,19:45,ENGLAND - LEAGUE ONE - ROUND 18,Charlton,Northampton,1.85,3.6,4.2,1.22,1.75,1.67,4.0,2.05
Back_home,23.01.2024,20:00,ENGLAND - EFL CUP - SEMI-FINALS,Chelsea,Middlesbrough,1.25,6.5,11.0,1.13,1.4,1.91,6.0,2.88
Back_home,23.01.2024,19:45,FRANCE - LIGUE 2 - ROUND 21,Bastia,Caen,2.05,3.0,3.6,1.44,2.35,2.0,2.63,1.57
Back_home,23.01.2024,19:45,SCOTLAND - PREMIERSHIP - ROUND 12,Hearts,Dundee FC,1.8,3.6,4.5,1.33,2.05,1.95,3.4,1.75
Time visitante,23.01.2024,15:00,ASIA - ASIAN CUP,Hong Kong,Palestine,5.0,4.0,1.65,1.25,1.84,1.8,3.75,2.06
Time visitante,23.01.2024,20:00,ENGLAND - LEAGUE ONE - ROUND 18,Reading,Derby,4.0,3.8,1.83,1.22,1.73,1.67,4.0,2.08
Time visitante,23.01.2024,19:45,PORTUGAL - LEAGUE CUP - PLAY OFFS - SEMI-FINALS,Braga,Sporting CP,4.1,3.9,1.82,1.17,1.6,1.55,4.8,2.28
Time visitante,23.01.2024,12:15,SAUDI ARABIA - DIVISION 1 - ROUND 18,Al Taraji,Al Orubah,4.15,3.4,1.8,1.32,2.08,1.92,3.2,1.68
OVER25,23.01.2024,19:45,SCOTLAND - CHAMPIONSHIP - ROUND 14,Ayr,Arbroath,1.6,3.75,5.25,1.22,1.75,1.8,4.0,2.05
BTTS_SIM,23.01.2024,17:00,AFRICA - AFRICA CUP OF NATIONS - ROUND 3,Gambia,Cameroon,7.5,3.75,1.53,1.4,2.25,2.38,2.75,1.62
BTTS_SIM,23.01.2024,19:45,FRANCE - LIGUE 2 - ROUND 21,Amiens,Annecy,2.0,3.4,3.4,1.4,2.25,2.0,2.75,1.62
